unidade;ano;mes;setor_centro_custo;paciente_dia
HMAL;2025,0;2,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;203,0
HMAL;2025,0;3,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA A;55,0
HMAL;2025,0;3,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;93,0
HMAL;2025,0;4,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;195,0
HMAL;2025,0;5,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;408,0
HMAL;2025,0;6,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;424,0
HMAL;2025,0;7,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;457,0
HMAL;2025,0;8,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;471,0
HMAL;2025,0;9,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;437,0
HMAL;2025,0;10,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;432,0
HMAL;2025,0;11,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;375,0
HMAL;2025,0;12,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;300,0
HMAL;2026,0;1,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;403,0
HMAL;2026,0;2,0;UNIDADE DE INTERNAÇÃO - TRAUMATO/ORTOPEDIA B;205,0
HRAD;2019,0;1,0;ALOJAMENTO CONJUNTO;420,0
HRAD;2019,0;1,0;BLOCO OBSTÉTRICO;21,0
HRAD;2019,0;1,0;OBSERVAÇÃO;575,0
HRAD;2019,0;1,0;UNIDADE INTERNAÇÃO - CIRURGIA GERAL;655,0
HRAD;2019,0;1,0;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;760,0
HRAD;2019,0;1,0;UNIDADE INTERNAÇÃO - CLINICA ORTOPÉDICA;733,0
HRAD;2019,0;1,0;UNIDADE INTERNAÇÃO - CLINICA PEDIÁTRICA;207,0
HRAD;2019,0;1,0;UTI;256,0
HRAD;2019,0;1,0;UTI - NEONATAL;256,0
HRAD;2019,0;2,0;ALOJAMENTO CONJUNTO;398,0
HRAD;2019,0;2,0;BLOCO OBSTÉTRICO;16,0
HRAD;2019,0;2,0;OBSERVAÇÃO;565,0
HRAD;2019,0;2,0;UNIDADE INTERNAÇÃO - CIRURGIA GERAL;551,0
HRAD;2019,0;2,0;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;700,0
HRAD;2019,0;2,0;UNIDADE INTERNAÇÃO - CLINICA ORTOPÉDICA;663,0
HRAD;2019,0;2,0;UNIDADE INTERNAÇÃO - CLINICA PEDIÁTRICA;213,0
HRAD;2019,0;2,0;UTI;221,0
HRAD;2019,0;2,0;UTI - NEONATAL;235,0
HRAD;2019,0;3,0;ALOJAMENTO CONJUNTO;415,0
HRAD;2019,0;3,0;BLOCO OBSTÉTRICO;28,0
HRAD;2019,0;3,0;OBSERVAÇÃO;560,0
HRAD;2019,0;3,0;UNIDADE INTERNAÇÃO - CIRURGIA GERAL;601,0
HRAD;2019,0;3,0;UNIDADE INTERNAÇÃO - CLINICA MÉDICA;773,0
HRAD;2019,0;3,0;UNIDADE INTERNAÇÃO - CLINICA ORTOPÉDICA;705,0
HRAD;2019,0;3,0;UNIDADE INTERNAÇÃO - CLINICA PEDIÁTRICA;207,0
